source_code,concept_name
MG/DL (CAL,milligram per deciliter
MG{FEU}/L,milligram of fibrinogen equivalent unit per liter
CM6.3,centimeter
MILLLIGRAM,milligram
LITER/MIN,liter per minute
eia val,EIA unit
NOTES,Note
PEA SIZE APPLICATION OF CREAM,application
^ML/MIN/1.73M2,milliliter per minute per 1.73 square meter
X 10^6,million
UMOL/MOL C,micromole per mole of creatinine
CUBIC CM,cubic centimeter
x10 6^10^6,million
10*6/ML,million per milliliter
THOUSAND P,thousand
PER WEEK,per week
MG/MG CREA,milligram per milligram of creatinine
U/GHGB @37DG,unit per gram of hemoglobin
DECIBLE,Decibel
UNITS PER LITER,unit per liter
per mm3,per cubic millimeter
/H SLEEP,per hour
KBQ/ML,kilobecquerel per milliliter
^units/ml,unit per milliliter
^/UL,per microliter
10*3/UL THOUSAND PER MICROLITER,thousand per microliter
10*6/UL MILLION PER MICROLITER,million per microliter
international units per milliliter,international unit per milliliter
MOSMO/L,milliosmole per liter
/CUBIC MM,per cubic millimeter
X 10E9,billion
U/ML RBC,unit per milliliter of red blood cells
APPLLICATION,application
MGL/DL,milligram per deciliter
MOLAR,mole
^ML/24 H,milliliter per 24 hours
APPLICATION TO AFFECTED  AREAS,application
LOG 10COPY/ML,log copies per milliliter
EUNITS/ML,Ehrlich unit per milliliter
^NG/ML/H,nanogram per milliliter and hour
% MEAN NOR,percent mean normal
% HEMOGLOBIN,percent hemoglobin
RATIO^RATIO,ratio
DEG15,degree
FARENHEIT,degree Fahrenheit
MILLICURIE,millicurie
^APL U/ML,IgA phospholipid unit per milliliter
&#37;,percent
mmol per 2,inch (US)
ML/MIN/1.73 M�,milliliter per minute per 1.73 square meter
ICROGRAMSPERMILLILIT,microgram per milliliter
MG/DL(CALC),milligram per deciliter
MIU/L\.BR\,milli-international unit per liter
CELLS/CMM,cells per cubic millimeter
CUT OFF 150 NG/ML,nanogram per milliliter
MOSMOL/KG CALC,milliosmole per kilogram
MOS,milliosmole
^GPL,IgG phospholipid unit
EU/DL^EU/DL^L^EU/DL,Ehrlich unit per deciliter
MM^MM,millimeter
x10 6/ulx10 6/ul,million per microliter
cut off 100 ng/ml,nanogram per milliliter
milliinter,milliliter
COPY/UL,copies per liter
UG/ML  (G),microgram per milliliter
/MM^3,per cubic millimeter
X 10`6,million
MILILTERS,milliliter
MILILITER PER MINUTE,milliliter per minute
{HGB%},percent hemoglobin
UG/MGCREAT,microgram per milligram of creatinine
HOURS`,hour
GALLON,gallon (US)
10 X 9 CELLS/L,billion cells per liter
PERCENTAGE,percent
ICRO INTERNATIONAL U,micro-international unit
APPLICATION TO AFFECTED AREA,application
kau/i,kilounit per liter
COPIES PER MILLILITER,copies per milliliter
OINTMENT,milligram per milliliter
INTERNATIONALUNITL,international unit
DROPS INTRANASALLY,drop
LOGCP/ML,log copies per milliliter
UG/GCRT,microgram per gram of creatinine
ML/MIN 1.73,milliliter per minute per 1.73 square meter
MCG/MG/CREATININE,microgram per milligram of creatinine
THIN APPLICATION OF CREAM,application
MCG/HOUR,microgram per hour
x10-6/ul,million per microliter
L/MINUTE (BEST),liter per minute
NM BCE/M,nanomole of bone collagen equivalent per millimole of creatinine
DROP(S)  IN EACH EYE,drop
LEUKO/UL,cells per microliter
NQ/DL,per deciliter
x10e3 per microliter,thousand per microliter
NM/LITER,nanomole per liter
ML/MIN^ML/MIN,milliliter per minute
/ACTUATION,gram per actuation
10*3/ UL,thousand per microliter
CELL/MM3,cells per cubic millimeter
u/10e12 rb,unit per billion red blood cells
10 X 3 CELLS/L,thousand cells per liter
TSP (2.5 ML),teaspoon
/plf,per low powered field
CUT OFF 10 NG/ML,nanogram per milliliter
250ERY/UL,erythrocytes per microliter
SUSPENSION,milligram per milliliter
^X10E6/UL,million per microliter
E U/DL,Ehrlich unit per deciliter
XYXY01/DL,per deciliter
KPER MICRO,thousand per microliter
k/mcl1,thousand per microliter
^COPIES/ML,copies per milliliter
X10~6/UL,million per microliter
MG/TIME,milligram per time
MILLILIERS,milliliter
^MCG/24 H,microgram per 24 hours
GM %,gram percent
APPLICATION OF  OINTMENT,application
PER CUBIC MM,per cubic millimeter
U[IU]/ML,international unit per milliliter
TEASPOONS,teaspoon
DROPBOTH EYES,drop
xk/ul,thousand per microliter
%{TOTAL},percent total
112 X48MCG,microgram
ML/MIN/1.73M''2,milliliter per minute per 1.73 square meter
MBQ/ML,Megabecquerel per milliliter
/HPF^/HPF^L^/HPF,per high power field
int. unit/,international unit
MG/DLOF APO-A1,milligram per deciliter
MG/G_MILLIGRAMSPERGRAM,milligram per gram
MG/ ML,milligram per milliliter
MGMA/GCR,milligram per gram of creatinine
elisa unit,Elisa unit
mg/dl^mg/d,milligram per deciliter
/mm 3,per cubic millimeter
MILLIGRAMSPERDECILIT,milligram per deciliter
MMOL/L(CALC),millimole per liter
MMOL/L^^L,millimole per liter
int._unit/l,international unit per liter
DROPS  TO LEFT EAR,drop
TEASPOON PO,teaspoon
million/,million
% of norma,percent mean normal
MUIU/ML,milliunit per milliliter
micro-intl units/ml,micro-international unit per milliliter
ml/min./1.,milliliter per minute
TABLESPOONFUL,tablespoon
UNITS/ ML,unit per milliliter
10k/ul,thousand per microliter
10PWR6/UL,million per microliter
DROPTO BOTH EYES,drop
ANOGRAM PER MILLLIIT,nanogram per milliliter
U/L^ENZYME,unit per liter
EOSIN/CUMM,cells per cubic millimeter
CM(S):CM(S),centimeter
milligrams per liter,milligram per liter
(10)6/UL,million per microliter
-0.0-MM,millimeter
CM.,centimeter
MILLION/CUMM,million per cubic millimeter
#/100 wbcs,per 100 white blood cells
mlmin173m2,milliliter per minute per 1.73 square meter
XYXY01 INTERNATIONAL_U,international unit
mg albumin/g creatinine,milligram per gram of creatinine
MMOL PER L,millimole per liter
HIGH POWER FIELD,per high power field
0-3/HPF,per high power field
LITRES/MIN,liter per minute
DROP(S) RIGHT  EAR,drop
X10 6/MM3,million per cubic millimeter
DROPPERFUL(S),drop
^MLS,milliliter
NMOLBCE/MMOLCREAT,nanomole of bone collagen equivalent per millimole of creatinine
mmol/molcr,millimole per mole of creatinine
E08/KG,per kilogram
LITERS/SECOND,liter per minute
x10(3),thousand
copies/m,copies per milliliter
x10e3/ul^^,thousand per microliter
ML/MIN/1.73SQMETER,milliliter per minute per 1.73 square meter
eunit/dl,Ehrlich unit per deciliter
x10*6/cumm,million per cubic millimeter
X10(6) UL,million per microliter
^G/DL,gram per deciliter
APL UNIT/ML,IgA phospholipid unit per milliliter
MCG/24 HRS,microgram per 24 hours
E06/KG,per kilogram
/CUMM^/CUMM,per cubic millimeter
^/hpf,per high power field
MMOL/L;,millimole per liter
EHR U/DL,Ehrlich unit per deciliter
^titer,titer
CALORIES,calorie
MONTH(S),month
L,liter
CC'S FOR SUSPENSION,cubic centimeter
UG/ML FEU'S,microgram of fibrinogen equivalent unit per milliliter
ml/24 hour,milliliter per 24 hours
^UIU/ML,micro-international unit per milliliter
K/MICROL,thousand per microliter
DROPTO EACH EYE,drop
GEL APPLICATION,application
MCMOL/GM CR,micromole per gram of creatinine
LITERSPERMINUTE,liter per minute
PER SECOND,per second
�G/DL,gram per deciliter
MU,Million unit
DROPS LEFT  EAR,drop
cc/s,milliliter per second
CC/S,milliliter per second
MINT UNITS/ML,milli-international unit per milliliter
INTL_UNITS/L,international unit per liter
UMOL/G,micromole per gram
"NG/ML,TROU",nanogram per milliliter
X10\S\6,million
{REL_SALINE},relative to saline
APPLICATINO,application
decibels,Decibel
LITERS4.44,liter
DROP(S)BOTH EARS,drop
u/ghb,unit per gram of hemoglobin
S MM/HR,millimeter per hour
ILLIOSMOLE PER KILOG,milliosmole per kilogram
DRPS,drop
% of normal,percent mean normal
UG\DL,microgram per deciliter
IU/L^IU/L,international unit per liter
RATIO (%),percent
mm erythema,millimeter
DROP(S) EACH NOSTRIL,drop
NG/ML BLOOD,nanogram per milliliter
NG/ML XYXY01,nanogram per milliliter
POWDER,milligram per milliliter
10\S\3UL,thousand per microliter
NG/ML D-XYXY01,nanogram per milliliter
umol/mmolcr,micromole per millimole
PMOL/DL,picomole per deciliter
^%,percent
/MICROL,per microliter
GM/ML,gram per milliliter
MCG/PUFF,microgram per actuation
DROP TOEACH EYE,drop
MG/1ML,milligram per milliliter
%ACTIV,percent activity
CENTIMETERS,centimeter
PH UNIT(S),pH
#/100 WBC',per 100 white blood cells
UMOL/G CRE,micromole per gram of creatinine
mmhg^mmhg,millimeter mercury column
UNITA,unit
AU/ ML,arbitrary unit per milliliter
MG/GCREATI,milligram per gram of creatinine
l fl,femtoliter
LOG_INTL_UNIT/ML,log international unit per milliliter
DROPS  BOTH EARS,drop
#/100wbc,per 100 white blood cells
G/DL RBC,gram per deciliter
MML/L,millimole per liter
ML PER SECOND,milliliter per second
mg/dl^^l,milligram per deciliter
ng/ml trypsin,nanogram per milliliter of trypsinogen
UNIT/GM-%,unit per gram
APPLICATOR,application
cm squared,square centimeter
MILLILITERS PER MINUTE,milliliter per minute
LINE,line
MILLIMETERPERHOUR,millimeter per hour
DEG FAHRENHEIT,degree Fahrenheit
mplu/ml,IgM phospholipid unit per milliliter
^ML/MIN,milliliter per minute
SL TAB,tablet
3-5 MM,millimeter
ML/MIN/(1.73M)2,milliliter per minute per 1.73 square meter
[XYXY01'U]/DL,unit per deciliter
ILLI INTERNATIONAL,milli-international unit
(gms),gram
WK/,week
%oftotalhg,percent hemoglobin
m-int. uni,micro-international unit
thousands/?l,thousand per liter
MICRO IU,micro-international unit
^MPL,IgM phospholipid unit
MMOL/L^MIL,millimole per liter
10 6/mm 3,million per cubic millimeter
10s/ul,million per microliter
COLONY FORMING UNITS,colony forming unit
% calc,percent calculated
iu gamma-ifn/ml,international unit per milliliter
NMOL{BCE}/MMOL{CREAT},nanomole per millimole of creatinine
MG CA/G CR,milligram per gram of creatinine
PUFF(S),Actuation
mg/gmcreat,milligram per gram of creatinine
^MMOL/L,millimole per liter
k/ul^k/ul,thousand per microliter
DROP(S) RIGHT EAR,drop
APPLICATIONOF OINTMENT,application
DROP(S)EACH  EYE,drop
DROP(S)  IN AFFECTED EAR,drop
\HPF,per high power field
APPLICATED,application
OZ,ounce (avoirdupois)
MIL/MM,million per cubic millimeter
MM H2O,millimeter
/100W,per 100 white blood cells
APPLIACTION,application
MIMUTS,minute
MICROGRAM/DL,microgram per deciliter
OD UNITS,O.D. unit
MG (CO),milligram
ml/min/{1.,milliliter per minute
^cells/ul,cells per microliter
ERY/MICL,erythrocytes per microliter
100%,percent
MM/ML,millimole per milliliter
MILLILITER SC,milliliter
10\^\6/UL,million per microliter
pg/mm3,picogram per millimeter
MG/DL (CALC)\.BR\,milligram per deciliter
X10\\S\\3,thousand
MG/24HOURS,milligram per 24 hours
mmhg.,millimeter mercury column
ng/ml/hr.,nanogram per milliliter and hour
UM/G CR,microgram per gram of creatinine
MCG/ML XYXY04,microgram per milliliter
PHUNIT,pH
MICROGRAM,microgram
DROP(S)AD,drop
MILLILGRAM,milligram
% OF TOT,percent total
MPLUNITS,IgM phospholipid unit
ML/MIN 1.7,milliliter per minute
MG/DL CALC,milligram per deciliter
10'3/UL,thousand per microliter
IN HALATION,Actuation
BREATHS PER MINUTE,counts per minute
GRAM(S) IM,gram
DROP INAFFECTED EYE,drop
MOSM/KGH20,milliosmole per kilogram of H20
MMOL/L^MMOL/L^L^MMOL/L,millimole per liter
^X10E3/UL,thousand per microliter
PUFFS,Actuation
^U,unit
86:CM,centimeter
APPLICATIION,application
MG/ML (PF),milligram per milliliter
DROP(S) AD,drop
MG/GMCREAT,milligram per gram of creatinine
10^3/¿L,thousand per liter
msv,sievert
10*6/{SPECIMEN},million per specimen
ku/l clas,kilounit per liter class
XYXY01 UNITS/ML,unit per milliliter
DROPS IN  EACH EYE,drop
GM/DOSE,gram per dose
% saturati,percent saturation
DROP(S)  AD,drop
cut off 300 ng/ml,nanogram per milliliter
ILLIGRAMSPERGRAM [MA,milligram per gram
THOUSAND/U,thousand
nanamole,nanomole
5MMO,millimole
X 10E9/L,billion per liter
INHILATION,Actuation
NMOLBCE/MM,nanomole of bone collagen equivalent per millimole of creatinine
ILLI INTERNATIONAL_U,milli-international unit
CALC MG/DL,milligram per deciliter calculated
% (MG/ACT),milligram per actuation
PG/RBC,picogram per cell
m/sec,meter per second
X10_6/UL,million per microliter
DROP(S)    OU,drop
X10\E\S\E\3/UL,thousand per microliter
x10s,thousand
mosm/kg^mosm/kg,milliosmole per kilogram
INTL UNITS/ML^INTL UNITS/ML,international unit per milliliter
cut off 500 ng/ml,nanogram per milliliter
TEASPOONAS,teaspoon
UNTIS,unit
YRS,year
units per milliliter,unit per milliliter
MG/24.H,milligram per 24 hours
NG/MLFEU,nanogram per milliliter
¿G/DL,gram per deciliter
international units,international unit
NG/ML^NG/M,nanogram per milliliter
MCG/MGCREATININE,microgram per milligram of creatinine
nmol bce/m,nanomole of bone collagen equivalent per millimole of creatinine
1 ML,milliliter
UNITS/DAY,unit per 24 hours
/h sleep,per hour
LITERS/MIN,liter per minute
GPIIGGUNITS,beta-2 GPI IgG Ab unit
GTT,drop
UG/G CREATININE,microgram per gram of creatinine
MGMALB/G,milligram per gram of creatinine
10^6/MCL,million per microliter
ml/min 1.73,milliliter per minute per 1.73 square meter
DROPS IN  RIGHT EAR,drop
10 6/CMM,million per cubic millimeter
%normal,percent mean normal
DROP  TO EACH EYE,drop
U/GM,unit per gram
BTU,thermal unit (British)
DAYS PER WEEK,day per week
METRIC DROPS TO AFFECTED EAR,drop
TABLET ER,tablet
x10x3,thousand
6 /UL,million per microliter
DROP  EACH EYE,drop
CM/H20,centimeter watercolumn
DROP  BOTH EYES,drop
mg/dl2,milligram per deciliter
KU/L  CLAS,kilounit per liter class
(10)3,thousand
APPLICATION  TO FACE,application
MILLION/MC,million per microliter
MILLION UNIT,Million unit
DROP(S) AU,drop
MILLILITERT,milliliter
IU/ML^IU/ML,international unit per milliliter
MG TP/G CR,milligram per gram of creatinine
MM FETUS 1,millimeter
GPL UNIT,IgG phospholipid unit
G/DL(CALC),gram per deciliter
KIT(S),unit
/cumm,cubic millimeter
COPIE/ML,copies per milliliter
LOG 10COPY,log copies per milliliter
10 x 9 cells/l,billion cells per liter
RBCS/UL,erythrocytes per microliter
PG PICOGRAM,picogram
ML/HOUR,milliliter per hour
X10**3,thousand
PUFFS INHALED,Actuation
FAHRENH98.EIT,degree Fahrenheit
x10e3 per,thousand
G/24HOURS,gram per 24 hours
TEAPOONS,teaspoon
MG/DL MILLIGRAM PER DECILITER,milligram per deciliter
TSPN,teaspoon
RESP/MIN,counts per minute
DROPS IN AFFECTED EAR(S),drop
UNITIS,unit
ML/MIN/1.72M,milliliter per minute per 1.73 square meter
L/MIN/1.73 SQUARE M,milliliter per minute per 1.73 square meter
"%,BASELINE",percent baseline
APPLICATOR(S),application
10\\^\\3/UL,thousand per microliter
XYXY01 U/DL,unit per deciliter
TABLESPOONFULS,tablespoon
MMOL PER LITER,millimole per liter
CUP,cup
CELL,cells
LEUKOCYTES/UL,cells per microliter
NG/FEU/ML,nanogram of fibrinogen equivalent unit per milliliter
CUT OFF 1000 NG/ML,nanogram per milliliter
MCMOL/L^MCMOL/L,micromole per liter
THIN APPLICATIONOF CREAM,application
XYXY01 U/ML,unit per milliliter
37.5MG T,milligram
10X3/MM,thousand per cubic millimeter
U/ML\X0D0A\,unit per milliliter
x 10 3^10^3,thousand
MILLIILITER,milliliter
MG (PED),milligram
UNIS,unit
G/DL (CALC)\.BR\,gram per deciliter
MG/DL^MG/DL^L^MG/DL,milligram per deciliter
unit/l^unit/l,unit per liter
10(12)/l,trillion per liter
micro iu/m,microunit per milliliter
MM/1 HR,millimeter per hour
MILLIAMP,ampere
TABLESPOON,tablespoon
MGMA/GCREA,milligram per gram of creatinine
^MG/G CREAT,milligram per gram of creatinine
^U/L,unit per liter
thousan/ul,thousand per microliter
x1012/l,trillion per liter
cm:cm:cm,centimeter
MILLIGRAMS PER LITER,milligram per liter
DROP   EACH EYE,drop
MCG/HR,microgram per hour
^ng/ml,nanogram per milliliter
gm/dl^gm/d,gram per deciliter
^mm/hr,millimeter per hour
ERYTH/MCL,erythrocytes per microliter
SQ.M.,square meter
ML/MIN/1.73M?^ML/MIN/1.73M?,milliliter per minute per 1.73 square meter
CUT OFF 25 NG/ML,nanogram per milliliter
CM21.5,centimeter
%s,percent
MOM FETUS 1,multiple of the median
ICOMOLESPERLITER [XYXY01,picomole per liter
BEATS/MI,counts per minute
m0sm/kg,milliosmole per kilogram
/ 100WBC,per 100 white blood cells
meg/l,milligram per liter
DROPSRIGHT EAR,drop
{LOG_IU}/ML,log international unit per milliliter
GRAMSPERDECILITER [M,gram per deciliter
th/mm^3,thousand per cubic millimeter
^iu/ml,international unit per milliliter
MILLILITER(S),milliliter
ELIAU/ML,international unit per milliliter
DROPS,drop
10X12L,trillion per liter
MOS/L,milliosmole per liter
RATE/MIN,counts per minute
10 12/L,trillion per liter
x per week,per week
25 LEU/UL+,per microliter
gm%,gram percent
^MPL U/ML,IgM phospholipid unit per milliliter
ng/mg crea,nanogram per milligram of creatinine
MICROUNIT/ML,microunit per milliliter
ML/MIN/M2,milliliter per minute
DROPS  INTRANASALLY,drop
KILOGRAM,kilogram
/hpf^/hpf,per high power field
NMBCE,nanomole of bone collagen equivalent
MCG/24HOUR,microgram per 24 hours
X10S3/MCL,thousand per microliter
GTTS,drop
DEGREES CE,degree Celsius
25 ng/ml,nanogram per milliliter
ORG/ML,per milliliter
POUND,pound (US)
% ^ATURATION,percent saturation
microvolts,bel microvolt
LIGHT APPLICATION(S),application
#HPF,per high power field
CMS/H2O,centimeter watercolumn
UIUML,milliunit per milliliter
MG /24 HR,milligram per 24 hours
TEASPOON/S,teaspoon
_____ H  %,percent
%OFNORMAL,percent of normal
10(6),million
^MLS/MIN,milliliter per minute
G/CM2,gram per square centimeter
PER TEASPOON,teaspoon
nmolbce/mmolcreat,nanomole of bone collagen equivalent per millimole of creatinine
logcopies/ml,log copies per milliliter
X10^3U/L,kilounit per liter
BILLION,billion
ICROINTERNATIONALUNI,micro-international unit
ml/min/1,milliliter per minute
/CCMM,per cubic millimeter
UMOL/MOL CRT,micromole per millimole of creatinine
DROPS AFFECTED  EAR,drop
APPLICATION  TO AFFECTED AREAS,application
MILLIEQUIVALENTS PER 24 HR,milliequivalent per 24 hours
TEASPOONFULS,teaspoon
ML(S),milliliter
BREATHS/MIN,per minute
TEASPOON(S),teaspoon
APPLICATION TO BOTH NARES,application
10 3 UL,thousand per microliter
NGMLLDDU,microgram of fibrinogen equivalent unit per milliliter
10#6/ul,million per microliter
cut off 1000 ng/ml,nanogram per milliliter
M0MOL/KG,millimole per kilogram
CUBIC MM,cubic millimeter
DROP  BOTH   EYES,drop
DROPS EACH EAR,drop
{SEC},micro-international unit per milliliter
SEC/S5,second
KILOGRAMS,kilogram
CC/MIN,milliliter per minute
DROP(S)IN EACH EYE,drop
M/S.,meter per second
DROPS BOTH EARS,drop
%{SATURATION},percent saturation
TABLESPOON),tablespoon
LITER,liter
500MG/DL +++,milligram per deciliter
TABLETS ER,tablet
mint_unit/ml,milli-international unit per milliliter
UG.DL,microgram per deciliter
UG ALB/MG,microgram per milligram of creatinine
ILLIMOLESPERLITER [S,millimole per liter
PER GRAM,per gram
APPLICATION OFGEL,application
/100SPRM,per 100 spermatozoa
#/100,per hundred
mls/specim,microliter per gram
HERTZ,Hertz
ACTUATION,Actuation
MG/MG{CRE},milligram per milligram of creatinine
LOG10COPY,log copies per milliliter
thousands/??l,thousand per liter
UG/GCREAT,microgram per gram of creatinine
PACKS PER WEEK,per week
MILITER,milliliter
X10(6)UL,million per microliter
X10E12/L^X10^12/L,trillion per liter
GTTS AD,drop
MCG/GRAM CR,microgram per gram of creatinine
INHATION,Actuation
MILLILILITER,milliliter
MMOL/7.5ML,millimole per milliliter
%{UPTAKE},percent uptake
X1OE+09/L,billion per liter
cae units,complement activity enzyme unit
MG (DR),milligram
MIUNIT/ML,milli-international unit per milliliter
DROPS  IN LEFT EAR,drop
mom fetus 1,multiple of the median
ML/MIN/1.73 SQ. M.,milliliter per minute per 1.73 square meter
mcg:mg,microgram per milligram
DROPS  OU,drop
TEASPOONE,teaspoon
MMOL/G CR,millimole per gram of creatinine
MCG-ACT,microgram per actuation
MICROGRAMS PER DECILITER,microgram per deciliter
MG (MOD),milligram
[XYXY01'U]/ML,unit per milliliter
INHALATIONS,Actuation
^OD RATIO,O.D. ratio
DROP(S)  EACH EYE,drop
GMS/DL,gram per deciliter
MG/G/CREA,milligram per gram of creatinine
VOL.%,volume percent
DROP BOTH EYES,drop
ML/ 24HRS,milliliter per 24 hours
DRPOS,drop
UNIT/MG,unit per milligram
cut off 25 ng/ml,nanogram per milliliter
% o2,percent of white blood cells
MG/DL (CALC),milligram per deciliter
DROP INEACH EYE,drop
??mol/l,mole per liter
OINTMENTAPPLICATION,application
DROP OU,drop
UIU/ML,milliunit per milliliter
MM ERYTHEMA,millimeter
/PLF,per low powered field
\X1007\PG,picogram
CM:CM:CM5.7,centimeter
2 & 3 MM,millimeter
#/100wbc's,per 100 white blood cells
NMOL BCE/M,nanomole of bone collagen equivalent per millimole of creatinine
inr ratio,ratio
PMOL/HR/UL,micromole per hour and liter
mcg iv,microgram
umol/24 hr,micromole per 24 hours
^UMOL/L,micromole per liter
DROPSIN LEFT EAR,drop
APPLICATION TO AFFECTED  AREA,application
DECIBEL (DB) LEVEL,Decibel
60 GRAM(S),gram
10*6/MCL,million per microliter
DROP(S) EACH  EYE,drop
MILLILITER(S) IM,milliliter
CC SUSPENSION,cubic centimeter
PUFS,Actuation
INR RATIO,ratio
x 10s/u,million per microliter
DBLS,Decibel
ML/MIN/1.73M 2,milliliter per minute per 1.73 square meter
X1- 3/UL,per microliter
DROPS  IN RIGHT EAR,drop
NMOL/HR/MG PRT,micromole per hour and gram of protein
MICRO UNITS/ML,microunit per milliliter
%TOTAL,percent total
millivolt,bel millivolt
MICROGRAM PER DECILI,microgram per deciliter
GRAM(S) IV,gram
88%,percent
92%,percent
MG/DL (G/L),milligram per deciliter
DROPS AFFECTED EAR(S),drop
UMOL/GCREA,millimole per gram of creatinine
THEN 4 ML A DAY,milliliter
UNIT/G HB,unit per gram of hemoglobin
x 10*9/l,billion per liter
ML/MIN/1.73 * M SQ,milliliter per minute per 1.73 square meter
MILLIGRAMSPERGRAM [M,milligram per gram
G/DL (CALC),gram per deciliter
G / CM2,gram per square centimeter
N/ML,per milliliter
SQ. M.,square meter
MM INDURATION,millimeter
Q4H PRN DRY,hour
MILLIMETERS,millimeter
uiuml,milliunit per milliliter
u/l rc,unit per liter
MLU\ML,milliunit per milliliter
ML/MIN/1.73M¿¿,milliliter per minute per 1.73 square meter
NG/ML (DDU),microgram of fibrinogen equivalent unit per milliliter
^%a1c,percent hemoglobin A1c
MILLIGRAMS PER DECILITER (CALCULATED),milligram per deciliter
C C,cubic centimeter
MG.,milligram
LITERS PER SECOND,liter per second
X 10\\S\\3/UL,thousand per microliter
X10 6/ML,million per milliliter
APPLICATOR FULL,application
MCMOLE/LITER,micromole per liter
UIL/ML,international unit per liter
10 K/UL,thousand per microliter
TABLESPOONS,tablespoon
milli-inte,milli-international unit
MCGFEU/ML,microgram of fibrinogen equivalent unit per milliliter
6X8.3ML,milliliter
NG/KG/MIN,milligram per kilogram per minute
ml/min.,milliliter per minute
ML/MIN/1.73M\\S\\2,milliliter per minute per 1.73 square meter
TBSP,tablespoon
tho/mm3,thousand per cubic millimeter
UG/DLL,microgram per deciliter
5:CM,centimeter
^MILL/ML,million per milliliter
[iu)/l,international unit per liter
CM/:CM/,centimeter
ICROGRAMSPERGRAM [MA,microgram per gram
ML/MIN/1.7,milliliter per minute
6ul,million per microliter
1000000/ul,million per microliter
^G/24 H,gram per 24 hours
%ttl hgb,percent hemoglobin
MLS/SPECIMEN,milliliter per specimen
E.H./DL,Ehrlich unit per deciliter
DROP  IN EYES,drop
METRIC DROP  EACH EYE,drop
CHOL/HDL RATIO,ratio
MILLIONPERML,million per milliliter
GMS%,gram percent
DROP(S)AFFECTED EAR,drop
84 X 32MCG,microgram
CARTRIDGE(S),unit
MONS,month
ML/MIM/1.7,milliliter per minute per 1.73 square meter
TEASPOON (5ML),teaspoon
MILLILLITER,milliliter
G/24HR.,gram per 24 hours
10*6/??L,million per liter
UG/MG CREATININ,microgram per milligram of creatinine
DROP   BOTH  EYES,drop
CFU'S,colony forming unit
U/G CREAT,microgram per gram of creatinine
/HPFL,per high power field
10\E^E\6/UL,million per microliter
DROP TO BOTH EYES,drop
{MILLIONS/MCL},million per microliter
X AVG.,times average
ML/MIN/1.73 SQ METER,milliliter per minute per 1.73 square meter
ml/sec,milliliter per second
GRAM(S),gram
TBS,tablespoon
mmol/d,millimole per deciliter
MG/GM^MG/GM,milligram per gram
FEU/UG/M,microgram of fibrinogen equivalent unit per milliliter
MM INDURAT,millimeter
DROP EACH EYE,drop
MM^3,cubic millimeter
MCG/5DROP,microgram
M/S2,meter per square second
BREATH/MIN,counts per minute
LCPY/ML,log copies per milliliter
MILLITERS,milliliter
UNITSPERMILLILITER,unit per milliliter
millisecon,millisecond
^MILLION/UL,million per liter
x%,percent
INU/ML,international unit per milliliter
10*12L,trillion per liter
EL U/ML,unit per milliliter
RELTOH2O,relative to H2O
rel %,percent
NG/ML NANOGRAM PER MILLILITER,nanogram per milliliter
',second
DEGREES CENTIGRADE,degree Celsius
10 6UL,million per microliter
CM/H2O,centimeter watercolumn
mil/ml,milliliter per milliliter
BAR,bar
mm wheal,millimeter
MG ALB/G CRE,milligram per gram of creatinine
MICROGM/DL,microgram per deciliter
ML/MIN/1.73\E\.BR\E\,milliliter per minute per 1.73 square meter
u/ghgb,microgram per gram of hemoglobin
/lpf^/lpf,per low powered field
¿¿G/ML,gram per milliliter
UINITS,unit
MILLIUNITS/ML,milliunit per milliliter
ML/MIN/1.73 SQ.,milliliter per minute per 1.73 square meter
%NGSP,percent hemoglobin A1c
/MM3 UNDIL FLD,per cubic millimeter
NMOLBCE,nanomole of bone collagen equivalent
MG/L  FEU,milligram of fibrinogen equivalent unit per liter
x 10*12/l,trillion per liter
LITERS/SEC,liter per second
ng/mlrbc,nanogram per milliliter of red blood cells
seconds.,second
g/dl rbc,gram per deciliter
PER CU/MM,per cubic millimeter
^mg/l,milligram per liter
CM/SECOND,centimeter per second
log10copy/,log copies per milliliter
MCG:MG,microgram per milligram
mcg/mgcrea,microgram per gram of creatinine
APPLICATIN,application
mcmole/l,micromole per liter
X 10X6/MM3,million per cubic millimeter
INTL UNITS/L,international unit per liter
SEC^SEC,second
x10*3/cumm,thousand per cubic millimeter
^FL,femtoliter
mcg/mg cr,microgram per milligram
Q4H PRN NASAL,hour
X10E1,number ten
MILLLILITER,milliliter
#/100WBC''S,per 100 white blood cells
APPILCATION,application
DROPS TO AFFECTED EAR(S),drop
MOSM-KG,milliosmole per kilogram
UGELAST./G,microgram per gram
MEQ/24HRS,milliequivalent per 24 hours
MEQ/24 HRS,microequivalent per 24 hours
beats/mi,counts per minute
^eu/dl,Ehrlich unit per deciliter
PUFF (S),Actuation
GPLUNITS,IgG phospholipid unit
^MIU/ML,milliunit per milliliter
DROPS TO RIGHT  EAR,drop
MM FLARE,millimeter
K/ MM*3  .,thousand per cubic millimeter
ONLY 3 PER HPF,per high power field
PUFFFS,Actuation
x1000/cmm,thousand per cubic millimeter
X 10*3/UL^,thousand per microliter
% AT 60 MI,percent at 60 minutes
INTERNATIONAL UNITS PER LITER,international unit per liter
million/mm,million per cubic millimeter
% total hg,percent hemoglobin
MCG/INHALA,microgram per actuation
CUT OFF 300 NG/ML,nanogram per milliliter
GRAIN(S),grain
e.u.,Ehrlich unit
